Hotel Name,Hotel Price,Hotel Point
YOTEL New York Times Square,TL 11.240,"7,1"
Paramount Hotel Times Square,TL 11.274,"6,5"
Millennium Downtown New York,TL 11.914,"7,3"
The Manhattan at Times Square,TL 12.368,"5,6"
Pod Times Square,TL 12.407,"8,1"
"The New Yorker, A Wyndham Hotel",TL 12.506,"7,7"
"Distrikt Hotel New York City, Tapestry Collection by Hilton",TL 12.955,"7,5"
Eurostars Wall Street,TL 13.144,"7,7"
The Gallivant Times Square,TL 13.238,"6,4"
Residence Inn New York Downtown Manhattan/Financial District,TL 13.238,"7,6"
DoubleTree by Hilton New York Downtown,TL 13.607,"7,3"
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,TL 13.678,"8,5"
The Allen Hotel,TL 13.682,"7,9"
Empire Hotel,TL 13.838,"6,8"
The FIDI Hotel,TL 13.910,"8,3"
OYO Times Square,TL 13.961,"6,9"
Executive Class at MTS Hotel,TL 14.260,"6,5"
Freehand New York,TL 14.283,"7,9"
Dream Midtown,TL 14.381,"7,5"
"Holiday Inn Lower East Side, an IHG Hotel",TL 14.414,"7,9"
TRYP by Wyndham New York City Times Square - Midtown,TL 14.751,"6,9"
Millennium Hotel Broadway Times Square,TL 14.861,"7,1"
Hyatt Centric Midtown 5th Avenue New York,TL 14.907,"7,8"
Sanctuary Hotel New York,TL 14.911,"8,0"
The Shelburne Sonesta New York,TL 14.992,"7,9"
